review_id,app_id,review_text,label
136510302,2103530,"I simply love it, it's a great game!",1
136509602,2349550,Gifted word: Grace,1
136510134,1685730,"It's pretty good! If this was more expanded, it would definitely be more than awesome. The final boss was too short and simple IMO, wasn't challenging at all and that was the biggest turn down for me. But the story is pretty simple, and if the developer wants to make another Cynthia game, the story can easily be expanded, PLUS this game can be a good experience to do the next sequel even more better.\n\nOverall, 7/10. Amazing dev, knows what he's doing, quick to respond to bugs, and has put a lot of care into their first game.",1
136510117,1685730,"I recommend it, I had a great time playing the game",1
136509657,2364130,simple point and click game without much content,0
136511145,1829810,"If puppet combo made this everyone would play it for 0.7 hours leave a positive review praising the graphics, sound design and story and saying it's better than any triple A title released in the last 20 years despite having $60 lowest common denominator bait like watch dogs legions with 12 hours on their account and they'd lose interest in this game and never touch the game again and not refund it but still say it's their GOTY and they also say things like OG prey is better than prey 2017 despite the fact they've played neither and watched 5 seconds of someone unlocking the melee weapon on the original and wonder why their friends are never interested in their opinions on games",1
136511817,2102490,Nice sim game.,1
136511667,2102490,"It's a fun game, and always a few surprises with players during the late game. I had fun with this one and still have some leagues to beat.",1
136510517,2299240,"Fated word: Life, I was on the fence of which fate to twist for Thadeus but his last line got a laugh out of me so he got his happy ending",1
136510715,2349550,My gifted word: Strenght\n\nIt was pleasure to play as always <333,1
136510857,1409300,bagus banget cyberpunk pixel art kearifan lokal keren banget,1
136514533,2364250,A cool game in which you have to make your own supermarket. Of the pluses is the fact that money is accumulated even if you do not enter the game. I love clickers and this game is no exception. I recommend,1
136514247,2349550,IS quite interesting even for a second one. while a lot deeper than the first can give you time to reflect back upon yourself.\nsecret word: strength.\ncombine word : garden strength.,1
136515152,1685730,"Wery good game:\n\nPros:\n- story\n- landscape\n- puzzles (very good)\n\nI can recommend it, with hope for more games like that.",1
136514584,2227150,"Pretty neat platformer, controls are tight. Jumps are easy to make, and a good variety in stages. I'm going to lead with letting you know this game is very short, but it is enjoyable its entire duration.\n\n I think a good thing to do after beating all the levels and collecting all the 40 (? it was an even number I arrived at and I stopped seeing anymore) green coins is to try to beat all the levels with sub-one minute times. The levels feel like they're specifically engineered for this time frame in mind and it forces you to play creatively. \n\nI want to see this expanded into a larger game. I think the mechanics are polished and the understanding of how to implement platforming gimmicks is there. The dev is obviously very skilled at what they do. I think I got more than 3 dollars of fun out of this. I think an expansion on the concept should provide a purpose to the in game timer, such as beating a dev time or maybe a standalone collectable like the crash bandicoot games.\n\nThis is a ringing endorsement but I am going to post the few observances I have with the game after this, as well as my level times. (played with a controller)\n\ngood\n+ All platforming is incredibly tight and telegraphed very well. \n+ The little overworld is very fun to navigate however small it is. There is one out of the way place that immediately opens a warp after getting it and you can actually skip a few intended platforming parts using the core mechanics.\n\nneutral\n= there is an acceleration you have with gliding, it feels like the opposite of what gliding would normally do. I consider this neutral because after you get used to it it feels very satisfying to move around, but there is a learning curve.\n= physics with any moving stage gimmicks can be odd at times. It's consistent and you can actually use little things like leverage from spinning platforms to push yourself upwards a bit for more air but it may not do what you expect at first.\n= In my opinion, I think the gold coins should be finite. It would give an easy third goal to the areas, and you can very easily afford everything even without the respawns. being able to grind it feels like I didn't earn it. I don't know how much I can criticize the economy in a 3d platformer though. \n\nbad (these are really really minor issues)\n- recovery from a dive seems inconsistent. Sometimes I can recover and other times I feel like I can't and go barreling off the edge. This feels intentional but I couldn't get a feel for what triggered specific reactions.\n- The camera snap during the sections where you're repeatedly hitting boosts is a little jarring. This only happens once or twice.\n- I would like a little page in the menu that tells you all the information from the levels you completed. this is small but would be important for a larger game. It would have made tracking my level times at the end slightly easier too.\n\n------ Level Times\n01 - 00:58:802\n02 - 00:51:566\n03 - 00:48:949\n04 - 00:51:485\n05 - 00:55:513\n06 - 00:54:914\n07 - 00:41:248\n08 - 00:41:320\n09 - 00:58:073\n10 - 00:48:492",1
136517189,2103530,"A very awesome game, even though some (not all) concepts are similar to Melvor Idle which I don't mind, I like the these type of idle based html/web like based games.",1
136517969,1934040,very attractive sandbox survivor. nice graphics,1
136516681,1934040,It's fun to play on the controller <3,1
